Date,Open,High,Low,Close,Volume
2019-01-01,98.27,99.67,97.33,98.73,196947
2019-01-02,98.88,100.64,98.18,99.93,155662
2019-01-03,99.8,100.64,99.45,100.29,121534
2019-01-04,99.31,99.9,97.94,98.52,136047
2019-01-07,98.62,99.17,97.31,97.86,132317
2019-01-08,98.2,100.23,97.8,99.83,485334
2019-01-09,100.44,101.26,96.2,96.99,368062
2019-01-10,96.77,97.19,96.09,96.51,90287
2019-01-11,96.47,98.88,95.61,98.01,190256
2019-01-14,97.13,98.06,96.08,97.01,194925
2019-01-15,98.16,98.51,95.9,96.24,66618
2019-01-16,97.11,97.85,95.42,96.15,277106
2019-01-17,96.14,98.63,95.43,97.91,278211
2019-01-18,97.84,98.48,96.54,97.18,179781
2019-01-21,95.47,97.41,94.76,96.68,195054
2019-01-22,97.28,98.19,95.3,96.2,177481
2019-01-23,96.53,99.62,95.72,98.8,572778
2019-01-24,99.28,102.21,98.54,101.45,632544
2019-01-25,101.2,103.31,100.59,102.7,145796
2019-01-28,102.41,103.68,101.93,103.2,64526
