Date,Open,High,Low,Close,Volume
2019-01-01,99.14,100.38,98.67,99.92,154471
2019-01-02,100.87,101.87,99.79,100.78,260510
2019-01-03,99.8,100.38,98.59,99.17,429766
2019-01-04,99.21,99.51,98.15,98.45,249134
2019-01-07,96.83,98.7,96.5,98.36,164799
2019-01-08,98.77,101.82,97.78,100.81,542428
2019-01-09,100.26,103.2,99.52,102.44,666040
2019-01-10,102.59,103.3,101.52,102.22,335278
2019-01-11,101.16,103.71,100.6,103.14,289136
2019-01-14,102.72,103.82,102.3,103.4,278228
2019-01-15,103.96,104.31,101.87,102.21,810949
2019-01-16,102.26,102.9,100.65,101.28,391236
2019-01-17,100.88,101.73,99.26,100.1,608907
2019-01-18,100.49,100.79,99.73,100.03,212322
2019-01-21,99.82,101.03,99.02,100.23,138606
2019-01-22,101.01,101.32,97.94,98.24,743667
2019-01-23,98.62,99.82,98.26,99.45,546265
2019-01-24,100.3,100.98,98.84,99.52,159441
2019-01-25,99.15,100.29,98.22,99.36,130295
2019-01-28,100.91,101.86,98.08,99.01,227158
2019-01-29,98.37,101.7,97.53,100.84,629722
2019-01-30,99.72,101.42,98.95,100.65,149730
2019-01-31,101.58,101.93,100.12,100.46,136381
2019-02-01,100.57,102.06,99.82,101.31,632553
2019-02-04,100.73,101.72,100.34,101.33,253028
2019-02-05,102.74,103.35,101.65,102.26,243412
2019-02-06,101.87,103.36,100.9,102.38,233612
2019-02-07,102.37,103.0,101.86,102.49,96007
2019-02-08,102.81,104.31,102.42,103.91,501151
2019-02-11,103.31,104.3,102.88,103.87,125315
2019-02-12,104.24,104.72,102.36,102.84,365098
2019-02-13,102.34,103.21,100.54,101.4,764705
2019-02-14,100.87,102.31,100.05,101.49,319039
2019-02-15,102.35,102.88,99.88,100.41,351761
2019-02-18,101.24,102.0,100.53,101.29,205137
2019-02-19,101.3,102.3,100.64,101.63,101663
2019-02-20,100.96,102.15,100.12,101.3,425737
2019-02-21,100.16,101.24,99.5,100.58,365229
2019-02-22,100.42,101.15,99.79,100.52,236821
2019-02-25,100.77,102.06,99.93,101.22,321076
2019-02-26,101.26,102.99,100.5,102.23,318977
2019-02-27,101.81,102.23,100.46,100.88,504261
2019-02-28,101.65,103.97,100.8,103.1,618908
2019-03-01,103.48,104.36,101.51,102.38,207987
2019-03-04,102.45,103.0,100.5,101.04,315091
2019-03-05,100.72,103.32,100.26,102.86,1257242
2019-03-06,102.28,105.13,101.48,104.31,431448
2019-03-07,104.15,105.98,103.63,105.45,355518
2019-03-08,104.47,105.62,103.52,104.67,541086
2019-03-11,105.57,106.33,105.21,105.97,223152
2019-03-12,105.7,106.92,104.64,105.86,173480
2019-03-13,105.91,106.79,103.36,104.23,267019
2019-03-14,103.09,104.22,102.34,103.46,781497
2019-03-15,103.7,104.16,101.57,102.02,373998
2019-03-18,102.5,103.7,101.9,103.09,198951
2019-03-19,104.25,104.95,103.8,104.5,189503
2019-03-20,105.26,105.83,102.74,103.3,408752
2019-03-21,103.42,103.92,102.64,103.14,179119
2019-03-22,102.87,104.06,102.45,103.63,187306
2019-03-25,103.33,103.66,101.97,102.29,281817
2019-03-26,102.46,103.79,102.08,103.41,907986
2019-03-27,102.94,103.42,101.78,102.26,456128
2019-03-28,101.68,102.28,100.09,100.68,1098928
2019-03-29,100.66,101.39,99.02,99.74,148689
2019-04-01,99.51,100.32,98.54,99.35,239571
2019-04-02,99.74,100.56,97.6,98.41,537561
2019-04-03,97.69,100.41,97.08,99.79,790773
2019-04-04,99.27,100.67,98.42,99.81,122432
2019-04-05,99.83,100.64,97.44,98.23,897185
2019-04-08,97.71,99.32,97.04,98.64,189587
2019-04-09,98.42,98.76,96.73,97.07,768323
2019-04-10,96.37,99.61,95.57,98.8,557112
2019-04-11,98.33,99.29,96.53,97.48,401647
2019-04-12,98.1,98.81,96.31,97.01,156204
2019-04-15,97.7,98.53,96.41,97.25,197988
